ep,mgr_lr,loss,plan_score_mean,quality_ema,plan_len_mean,plan_len_ref_mean,plan_under_rate,plan_over_rate,anchor_hop_err_mean,anchor_near_rate,spacing_error_mean,monotonic_violation_rate,first_subgoal_hops_mean,segment_budget_error_mean,first_segment_budget_err_mean,first_segment_overshoot_mean,frontloaded_overshoot_rate,hard_anchor_near_rate,hard_under_rate,hard_first_segment_overshoot,hard_segment_budget_error,corridor_ratio_mean,mgr_grad_norm_preclip,mgr_grad_norm_postclip,manager_clip_hit_rate,mgr_entropy,mgr_nll,aux_ce_loss,warmstart_active,policy_weight,aux_weight
8200,7.576676565825646e-05,0.11954884976148605,-1.40625,0.46638405333361316,1.96875,2.0,0.03125,0.0,1.78125,0.375,0.1119791716337204,0.0,2.75,0.6875,0.5,0.03125,0.03125,0.0,0.0,0.0,0.0,1.0,14.049622535705566,14.049622789529824,0.0,1.8911705017089844,1.872026801109314,1.953139066696167,0.0,0.7,0.3
8400,6.860501243172049e-05,2.3330323696136475,-3.9674220085144043,0.37203314910082647,2.1875,2.0,0.0,0.03125,2.453125,0.296875,0.1527777761220932,0.015625,5.09375,1.2356770038604736,1.34375,0.5,0.1770833432674408,0.0,0.0,0.0,0.0,0.9765625,34.33300018310547,20.000001059221734,1.0,3.2156364917755127,5.37725305557251,7.183990001678467,0.0,0.7,0.3
8600,6.128559815773041e-05,1.2413411140441895,-0.5010417103767395,0.3872393976266252,1.71875,1.0,0.0,0.03125,0.40625,0.96875,0.2187499701976776,0.03125,1.90625,0.7083333730697632,1.09375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,28.421310424804688,19.999997412330803,1.0,1.9625433683395386,3.0518717765808105,4.450496673583984,0.0,0.7,0.3
8800,5.412862895049373e-05,0.2660568654537201,-2.0919606685638428,0.4166746357688642,2.28125,2.0,0.0,0.03125,1.546875,0.484375,0.10491074621677399,0.0,2.90625,1.29296875,0.9375,0.078125,0.0468750037252903,0.0,0.0,0.0,0.0,0.9895833730697632,13.779584884643555,13.779584727875406,0.0,1.2209867238998413,1.740106463432312,2.431659698486328,0.0,0.7,0.3
9000,4.74471065771836e-05,0.5890375375747681,-3.043750286102295,0.3891734269809705,2.15625,2.0,0.0,0.0,2.3125,0.296875,0.1302083432674408,0.015625,4.40625,1.3203125,1.09375,0.140625,0.1041666716337204,0.0,0.0,0.0,0.0,1.0,7.333250522613525,7.3332502164451325,0.0,1.803181767463684,2.1533830165863037,2.314225912094116,0.0,0.7,0.3
9200,4.153323968781605e-05,0.6182453036308289,-1.6651041507720947,0.4793927234973637,2.34375,2.0,0.0,0.0,1.984375,0.40625,0.1341145783662796,0.0,3.59375,0.8489583730697632,0.59375,0.0,0.0,0.0,0.0,0.0,0.0,1.0,11.675317764282227,11.67531739825511,0.0,1.806962490081787,1.9265344142913818,2.114219903945923,0.0,0.7,0.3
9400,3.6645664408047066e-05,-3.527092695236206,-2.9898784160614014,0.3959184859740035,4.0625,4.0,0.125,0.0,1.9453125,0.3723958432674408,0.1223958358168602,0.0625,3.46875,1.499913215637207,0.96875,0.0625,0.13854166865348816,0.3723958432674408,0.125,0.0625,1.499913215637207,1.0,18.186141967773438,18.186141996483933,0.0,1.9325183629989624,8.122156143188477,2.803312301635742,0.0,0.7,0.3
9600,3.299813318747675e-05,-2.5594234466552734,-3.809994697570801,0.44914423406401216,4.78125,5.0,0.15625,0.0,2.8249998092651367,0.14218750596046448,0.10973957180976868,0.02500000037252903,3.84375,1.668229103088379,0.84375,0.125,0.3687500059604645,0.14218750596046448,0.15625,0.125,1.668229103088379,0.9812500476837158,21.871198654174805,19.999998230562145,1.0,3.2213683128356934,6.1359710693359375,5.998902797698975,0.0,0.7,0.3
9800,3.07501665835924e-05,1.7820074558258057,-2.9683337211608887,0.36641994301965486,3.34375,3.0,0.0,0.0,3.3020832538604736,0.03125,0.10329863429069519,0.02083333395421505,3.28125,1.2552083730697632,0.90625,0.0,0.0338541679084301,0.0,0.0,0.0,0.0,0.9791666865348816,31.791765213012695,19.99999941132351,1.0,2.3499810695648193,4.774620056152344,6.845746994018555,0.0,0.7,0.3
9999,3e-05,2.583250045776367,-3.5492091178894043,0.47291339458121356,3.375,3.0,0.0,0.09375,2.3958332538604736,0.2604166865348816,0.12900641560554504,0.010416666977107525,2.625,1.7841145992279053,1.7500001192092896,0.0,0.04895833507180214,0.0,0.0,0.0,0.0,0.9791666865348816,15.552050590515137,15.552050961532437,0.0,2.8324646949768066,5.6721696853637695,3.845960855484009,0.0,0.7,0.3
